Q_bauxite_[t/h],date,time,Q_liquid_mill13_[m3/h],Q_liquid_mixer13_[m3/h],Q_liquid_mixer14_[m3/h],l/s_mill13_unloading,plus_160_mill13_unloading_[%],minus_56_mill13_unloading_[%],l/s_sliv_hydrocyclone1,plus_160_sliv_hydrocyclone1_[%],minus_56_sliv_hydrocyclone1_[%],l/s_peski_hydrocyclone1,plus_160_peski_hydrocyclone1_[%],minus_56_peski_hydrocyclone1_[%],l/s_mill14_unloading,plus_160_mill14_unloading_[%],minus_56_mill14_unloading_[%],l/s_sliv_hydrocyclone2,plus_160_sliv_hydrocyclone2_[%],minus_56_sliv_hydrocyclone2_[%],l/s_peski_hydrocyclone2,plus_160_peski_hydrocyclone2_[%],minus_56_peski_hydrocyclone2_[%]
52.4965,10/05/23,11:58÷12:03,49.5,106.6,179.0,4.6,25.16,53.89,5.0,8.57,69.56,,,,3.2,45.29,13.46,4.9,16.83,53.05,,,
93.7399,10/05/23,14:07÷14:13,55.4,141.5,191.9,3.3,17.42,67.85,5.8,14.93,51.82,,,,3.4,26.31,47.41,5.2,10.71,61.9,,,
73.5809,11/05/23,9:05÷9:15,50.6,124.7,174.0,3.7,18.80,61.02,6.4,1.62,88.09,0.7,64.75,17.44,2.0,33.40,33.64,7.7,1.13,75,0.7,65.31,9.27
83.8653,11/05/23,11:49÷11:55,57.4,125.7,174.8,3.4,22.34,63.15,5.2,3.44,79.64,,,,2.7,33.2,37.05,5.8,4.29,66.62,,,
82.0683,11/05/23,14:35÷14:40,50.4,101.0,150.1,2.9,18.49,66.61,5.3,3.06,78.45,,,,2.1,34.77,20.58,5.8,1.41,84.69,,,
81.5549,12/05/23,9:08÷9:24,47.7,127.3,165.7,3.3,22.63,63.61,4.1,2.89,89.62,0.6,67.97,17.08,4.4,40.46,26.09,11.9,0.00,99.9,0.6,69.1,6.06
97.2485,12/05/23,11:45÷11:50,48.1,134.4,164.0,2.9,17.93,68.54,4.7,1.25,94.64,,,,2.2,38.43,29.93,4.3,3.51,89.45,,,
47.9426,12/05/23,13:52÷13:58,46.3,102.4,118.2,4.8,0.16,97.57,3.5,16.78,70.95,,,,4.7,3.47,72.98,1.4,26.17,43.37,,,
101.1129,16/05/23,9:07÷ 9:18,49.3,116.0,166.8,2.6,37.07,24.01,5.1,2.85,81.70,0.6,56.75,19.39,2.6,21.82,61.24,5.7,6.91,60.34,0.6,67.26,17.18
79.2442,16/05/23,11:45÷11:50,52.8,128.8,150.6,3.6,24.20,57.97,4.9,2.81,81.57,,,,3.1,44.16,19.58,4.6,4.86,70.18,,,
68.3471,16/05/23,14:54÷14:58,51.1,86.7,117.0,3.2,9.82,78.74,6.9,1.44,94.33,,,,10.6,0.08,99.06,7.6,0.4,97.33,,,
84.8603,17/05/23,9:11÷ 9:22,45.5,104.8,120.4,2.8,23.18,60.73,5.7,0.99,94.11,1.2,68.66,9.60,3.7,16.34,51.44,4.1,4.01,71.09,1.0,70.65,8.68
82.1985,17/05/23,11:37÷11:42,43.9,107.1,152.8,2.9,14.65,60.14,5.7,3.27,77.66,,,,4.0,20.97,61.96,5.6,3.79,64.61,,,
